HW01,Quiz01,HW02,Quiz02,HW03,Quiz03,HW04,HW05,Midterm
0,37.5,100,71.88,0,43.75,98,100,72.5
100,100,100,87.5,100,100,100,100,91.5
74.47,68.75,91.67,87.5,98,75,100,100,75.5
85.11,100,100,81.25,100,93.75,99,100,89.5
100,56.25,100,87.5,100,93.75,100,100,94.5
95.74,100,98.33,87.5,100,100,100,100,88
70.21,87.5,100,90.63,96,93.75,100,100,86.5
100,100,100,81.25,100,93.75,100,100,84
68.09,75,100,25,84,37.5,100,100,59.5
100,87.5,87.5,75,96,81.25,98,100,68
93.62,87.5,98.33,87.5,86,87.5,100,100,78.5
95.74,87.5,100,87.5,100,62.5,100,100,65
95.74,87.5,100,75,96,87.5,98,100,84.5
95.74,100,100,87.5,100,100,100,100,94.5
80.85,87.5,97.5,87.5,100,93.75,88,100,89.5
97.87,62.5,96.67,87.5,96,93.75,98,100,88.5
95.74,75,89.17,81.25,94,78.13,100,95,71.5
100,81.25,98.33,78.13,88,93.75,100,100,75
87.23,87.5,85,87.5,100,100,84,100,81.5
97.87,75,79.17,93.75,98,81.25,100,100,88.5
85.11,62.5,100,75,100,75,98,97.5,80.5
93.62,81.25,100,87.5,100,100,94,100,81.5
97.87,87.5,100,81.25,100,81.25,98,100,62.5
100,100,100,81.25,100,93.75,100,100,74
100,75,91.67,93.75,100,68.75,94,100,89.5
93.62,75,100,68.75,100,93.75,100,100,82.5
97.87,93.75,100,84.38,100,53.13,94,100,73.5
95.74,93.75,96.67,84.38,96,93.75,98,100,78.5
93.62,75,100,87.5,100,100,100,100,63
87.23,93.75,100,75,96,100,96,95,78.5
93.62,75,100,81.25,100,81.25,100,100,72.5
85.11,56.25,100,50,96,62.5,96,100,54
91.49,87.5,100,87.5,100,100,100,100,86.5
85.11,62.5,95,81.25,96,43.75,94,100,64.5
87.23,0,89.17,81.25,96,100,100,97.5,83.5
95.74,93.75,98.33,81.25,100,81.25,100,100,77.5
93.62,100,100,87.5,100,0,94,100,90
95.74,93.75,99.17,84.38,98,100,90,100,67.5
100,68.75,96.67,93.75,100,90.63,94,100,88.5
95.74,93.75,100,93.75,100,93.75,100,100,73.5
93.62,81.25,100,68.75,96,56.25,98,100,65
82.98,81.25,0,87.5,100,75,94,100,81.5
100,81.25,0,0,0,87.5,100,100,76.5
